#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|E(dPSI)|>=0.20) per LSV junction	Th2_e_A E(PSI)	Th17_e_A E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions?	chr	strand	Junctions coords	Exons coords	Exons Alternative Start	Exons Alternative End	IR coords	Voila link
TAOK3	ENSG00000135090	ENSG00000135090:118693253-118693460:source	0.217912039473;-0.223362619912;2.49187795595e-06	0.706274382725;0.726813914969;1.31421177581e-08	0.675;0.319;0.025	0.925;0.069;0.026	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	0	chr12	-	118693460-118704460;118693460-118699302;118693460-118693764	118693253-118693460;118693764-118693864;118699302-118699478;118704460-118704564	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/14_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TAOK3
HMGB1	ENSG00000189403	ENSG00000189403:31037668-31037831:source	5.57872809515e-05;-4.11160868498e-08;-4.11160868498e-08;-0.456706875228;-4.11160868498e-08;0.122959610572;0.249599579519;0.00171926351369;4.48898477279e-07	1.53379981144e-12;4.19302602853e-15;4.19302602853e-15;0.999928219702;4.19302602853e-15;0.105682157207;0.888283168496;2.26526656885e-08;4.19307974423e-15	0.025;0.025;0.025;0.806;0.025;0.029;0.112;0.039;0.025	0.029;0.025;0.025;0.361;0.025;0.162;0.357;0.075;0.025	t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o4|1e5.2o4|1e5.3o4|1e5.4o4	True	False	True	9	6	1	chr13	-	31037831-31191353;31037831-31190808;31037831-31040504;31037831-31039933;31037831-31039210;31037831-31038305;31037831-31038298;31037831-31038180;31037831-31037952	31037668-31037831;31037952-31038447;31037952-31038447;31037952-31038447;31037952-31038447;31039210-31039379;31039933-31040102;31040504-31040651;31190808-31191734;31190808-31191734	;;;;;;;;;	;;;;;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/30_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#HMGB1
FAM13B	ENSG00000031003	ENSG00000031003:137281591-137281686:source	0.205980418558;-0.205980418558	0.582506650141;0.582506650141	0.309;0.691	0.604;0.396	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0	chr5	-	137281686-137284644;137281686-137281917	137281591-137281686;137281917-137282084;137284644-137284873	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/1_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#FAM13B
U2SURP	ENSG00000163714	ENSG00000163714:142740315-142740427:target	-0.266149956542;0.265493839015;3.58189301881e-06	0.702877110817;0.703268947439;8.77299972772e-08	0.801;0.194;0.025	0.485;0.510;0.026	t|1e1.1o2|1e1.2o2|i	True	False	False	2	2	1	chr3	+	142740224-142740315;142740227-142740315;142740314-142740315	142740192-142740227;142740192-142740227;142740228-142740314;142740315-142740427	;;;	;;;	(142740228, 142740314)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/22_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#U2SURP
U2SURP	ENSG00000163714	ENSG00000163714:142740192-142740227:source	-0.29557389437;0.249396397208;0.000179777782015	0.781087696525;0.686698641801;3.75312873131e-06	0.811;0.184;0.025	0.479;0.487;0.037	s|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr3	+	142740224-142740315;142740227-142740315;142740227-142740228	142740192-142740227;142740228-142740314;142740315-142740427;142740315-142740427	;;;	;;;	(142740228, 142740314)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/22_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#U2SURP
NIPA2	ENSG00000140157	ENSG00000140157:23027801-23027922:source	0.00852758479865;-2.191691551e-05;-0.378539781447;0.000182044639806;0.25767124728	0.0212912042921;3.13214228998e-06;0.86972589114;8.83271809263e-06;0.843539249698	0.174;0.028;0.800;0.028;0.028	0.280;0.026;0.389;0.039;0.290	t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o2|1e3.2o2	True	False	True	5	4	1	chr15	-	23027922-23034147;23027922-23034121;23027922-23033278;23027922-23029840;23027922-23029779	23027801-23027922;23029779-23029966;23029779-23029966;23033278-23033413;23034121-23034427;23034121-23034427	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/16_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#NIPA2
MAN2C1	ENSG00000140400	ENSG00000140400:75654983-75655520:source	-0.000638574832697;0.00109389938664;-0.252806619528;0.221077334248	2.72840559929e-05;0.00449368890956;0.807452670349;0.672868778059	0.061;0.454;0.334;0.151	0.035;0.477;0.064;0.428	t|1e0|2e0|3e1.4o4|3e2.3o4|3e3.1o1|i	False	True	True	3	4	1	chr15	-	75655089-75656829;75655089-75656340;75655089-75655551;75655520-75655521	75654983-75655520;75655521-75655550;75655551-75655631;75656095-75656475;75656829-75657006	;;;;	;;;;	(75655521, 75655550)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/17_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#MAN2C1
RBM26	ENSG00000139746	ENSG00000139746:79929355-79929519:target	-0.345917722605;0.345917722605	0.851743734905;0.851743734905	0.736;0.264	0.359;0.641	s|1e1.1o2|1e1.2o2	False	True	False	2	2	0	chr13	-	79928705-79929355;79928696-79929355	79928574-79928705;79928574-79928705;79929355-79929519	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/16_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#RBM26
CBR4	ENSG00000145439	ENSG00000145439:169922320-169923356:target	-0.376035943856;0.388018540459;4.88464787907e-05	0.994754900578;0.985359292027;1.57726120721e-05	0.393;0.571;0.039	0.027;0.951;0.042	s|1e1.1o1|1e2.1o1|1e3.1o1|2e0|3e0	True	False	True	3	4	1	chr4	-	169919436-169923222;169911479-169923222;169815916-169923222	169815721-169815916;169908741-169911479;169919353-169919436;169922320-169923356	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/17_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#CBR4
KCTD10	ENSG00000110906	ENSG00000110906:109895797-109895989:source	-2.34099733825e-07;0.250603865306;-2.34099733825e-07;-0.214905762196;-2.34099733825e-07;-2.34099733825e-07;-2.34099733825e-07;-6.53294914142e-05	7.24749809597e-10;0.8622080449;7.24749809597e-10;0.713766840264;7.24749809597e-10;7.24749809597e-10;7.24749809597e-10;1.32404930289e-07	0.025;0.030;0.025;0.945;0.025;0.025;0.025;0.030	0.025;0.277;0.025;0.711;0.025;0.025;0.025;0.025	t|1e2.1o1|2e2.1o1|3e1.1o2|3e2.1o1|3e3.1o2|3e4.1o1|3e5.1o1|4e2.1o1	True	True	True	8	6	0	chr12	-	109895989-109898441;109895886-109898441;109895883-109907320;109895883-109898441;109895883-109898153;109895883-109896730;109895883-109896654;109895853-109898441	109895797-109895989;109896654-109896676;109896730-109897434;109898131-109898200;109898441-109898610;109898441-109898610;109898441-109898610;109898441-109898610;109906867-109909182	;;;;;;;;	;;;;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/8_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#KCTD10
KCTD10	ENSG00000110906	ENSG00000110906:109898441-109898610:target	-4.41167095897e-07;0.249946081061;-0.215127167927;-6.94539028043e-05;-4.41167095897e-07	1.2193510471e-09;0.863324529939;0.716633693429;1.24365860605e-07;1.2193510471e-09	0.025;0.030;0.947;0.030;0.025	0.025;0.277;0.713;0.025;0.025	s|1e1.1o4|1e1.2o4|1e1.3o4|1e1.4o4|1e2.2o2	False	True	True	5	3	0	chr12	-	109895989-109898441;109895886-109898441;109895883-109898441;109895853-109898441;109895487-109898441	109895435-109895780;109895797-109895989;109895797-109895989;109895797-109895989;109895797-109895989;109898441-109898610	;;;;;	;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/8_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#KCTD10
DND1	ENSG00000256453	ENSG00000256453:140052030-140052491:target	-0.207545287188;0.207545287188	0.616278334229;0.616278334229	0.349;0.651	0.066;0.934	s|1e1.1o1|i	False	False	False	1	2	1	chr5	-	140051335-140052030;140052029-140052030	140050379-140051335;140051336-140052029;140052030-140052491	;;	;;	(140051336, 140052029)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/34_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#DND1
DPEP2	ENSG00000167261	ENSG00000167261:68021297-68021663:source	-0.278955146288;0.278955146288	0.946669880263;0.946669880263	0.973;0.027	0.700;0.300	t|1e1.1o1|i	False	False	False	1	2	1	chr16	-	68021663-68021755;68021663-68021664	68021297-68021663;68021664-68021754;68021755-68021960	;;	;;	(68021664, 68021754)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/23_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#DPEP2
LINC01184	ENSG00000245937	ENSG00000245937:127396836-127396936:source	0.222259159;-0.15442459089;-0.00181647762868;0.00072348323771;0.00139740572201;-4.81012786014e-06;-4.81012786014e-06	0.730352082516;0.453683347736;0.000688476350693;0.000468616178538;0.000142415595881;1.4156039454e-07;1.4156039454e-07	0.026;0.812;0.086;0.084;0.026;0.026;0.026	0.247;0.540;0.035;0.106;0.070;0.025;0.025	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o2|1e6.2o2	True	False	True	7	7	1	chr5	-	127396936-127418662;127396936-127418427;127396936-127417665;127396936-127412639;127396936-127400429;127396936-127398066;127396936-127398062	127396836-127396936;127398062-127398192;127398062-127398192;127400429-127400439;127412639-127412785;127417665-127417886;127418427-127418652;127418662-127418864	;;;;;;;	;;;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/33_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#LINC01184
CCNE1	ENSG00000105173	ENSG00000105173:30302805-30303059:source	-0.203937219085;0.203937219085	0.634739625776;0.634739625776	0.893;0.107	0.632;0.368	s|1e1.1o1|1e2.2o3	False	False	True	2	3	1	chr19	+	30303059-30303439;30303059-30303596	30302805-30303059;30303439-30303485;30303561-30303683	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/7_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#CCNE1
CCNE1	ENSG00000105173	ENSG00000105173:30303561-30303683:target	0.269364603944;-0.269364603944	0.82305418529;0.82305418529	0.088;0.912	0.376;0.624	t|1e0|2e1.1o1|2e2.1o1|3e0	False	True	True	2	3	1	chr19	+	30303059-30303596;30303485-30303596	30302805-30303059;30303439-30303485;30303561-30303683	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/7_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#CCNE1
URI1	ENSG00000105176	ENSG00000105176:30503192-30503806:source	3.92795550505e-06;0.225233978906;-0.230382321927	1.32312082092e-09;0.731840682084;0.748614946592	0.025;0.564;0.433	0.025;0.819;0.175	s|1e1.1o1|1e2.1o1|1e3.1o1|2e0	True	False	True	3	4	0	chr19	+	30503438-30505088;30503438-30505794;30503438-30506443	30503192-30503806;30505088-30505129;30505794-30505933;30506443-30506611	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/7_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#URI1
URI1	ENSG00000105176	ENSG00000105176:30506443-30506611:target	-0.210351016862;0.210351016863	0.726542133504;0.726542133504	0.287;0.713	0.079;0.921	t|1e1.1o2|i	False	False	False	1	2	1	chr19	+	30503438-30506443;30506442-30506443	30503192-30503806;30505934-30506442;30506443-30506611	;;	;;	(30505934, 30506442)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/7_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#URI1
VGLL4	ENSG00000144560	ENSG00000144560:11643307-11643496:source	0.366395771744;7.84343956881e-07;-0.366847414538;7.84343956881e-07;7.84343956881e-07;7.84343956881e-07;7.84343956881e-07;7.84343956881e-07	0.913849265806;2.71156510604e-08;0.911807798167;2.71156510604e-08;2.71156510604e-08;2.71156510604e-08;2.71156510604e-08;2.71156510604e-08	0.215;0.025;0.768;0.025;0.025;0.025;0.025;0.025	0.593;0.025;0.389;0.025;0.025;0.025;0.025;0.025	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1|1e8.1o1	False	False	True	8	9	0	chr3	-	11643496-11744445;11643496-11712736;11643496-11684911;11643496-11674591;11643496-11667831;11643496-11654063;11643496-11651730;11643496-11645798	11643307-11643496;11645798-11646055;11651730-11651978;11654063-11654141;11667831-11667987;11674591-11675145;11684911-11685398;11712736-11712868;11744445-11744521	;;;;;;;;	;;;;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/17_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#VGLL4
LMBR1L	ENSG00000139636	ENSG00000139636:49498231-49498334:target	0.291802180679;-0.291802180679	0.967212690535;0.967212690535	0.683;0.317	0.968;0.032	s|1e0|2e0|3e0|4e0|5e0|6e1.2o3|i	True	False	False	1	2	1	chr12	-	49497596-49498231;49498230-49498231	49497470-49498162;49498163-49498230;49498231-49498334	;;	;;	(49498163, 49498230)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/16_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#LMBR1L
FANCA	ENSG00000187741	ENSG00000187741:89803957-89805116:source	-0.217155390661;0.217155390661	0.699052990699;0.699052990699	0.612;0.388	0.364;0.636	t|1e1.2o3|i	False	False	False	1	2	1	chr16	-	89805116-89805290;89805116-89805117	89803957-89805116;89805117-89805151;89805152-89805382	;;	;;	(89805117, 89805151)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/29_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#FANCA
FANCA	ENSG00000187741	ENSG00000187741:89807212-89807274:target	-0.362941509497;0.362941509497	0.977465812972;0.977465812972	0.840;0.160	0.485;0.515	s|1e1.1o2|i	False	False	False	1	2	1	chr16	-	89806507-89807212;89807211-89807212	89806402-89806507;89806508-89807211;89807212-89807274	;;	;;	(89806508, 89807211)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/29_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#FANCA
CPSF7	ENSG00000149532	ENSG00000149532:61188465-61188602:source	-0.494731621606;0.00514859269519;0.359758714136	0.994142045634;0.00331238986303;0.860886671133	0.575;0.028;0.413	0.091;0.105;0.804	t|1e1.2o3|2e1.2o3|i	True	True	False	2	2	1	chr11	-	61188602-61188862;61188599-61188862;61188602-61188603	61188465-61188602;61188603-61188663;61188786-61189080;61188786-61189080	;;;	;;;	(61188603, 61188663)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/18_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#CPSF7
GM2A	ENSG00000196743	ENSG00000196743:150639316-150639477:target	0.234787398389;-0.234787398389	0.800484617068;0.800484617068	0.056;0.944	0.298;0.702	t|1e1.1o1|1e2.1o1|2e0	False	True	True	2	3	0	chr5	+	150592450-150639316;150632858-150639316	150592320-150592450;150632453-150632858;150639316-150639477	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/30_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#GM2A
DEXI	ENSG00000182108	ENSG00000182108:11023074-11023416:source	-0.604005975016;-0.000368166273483;0.64236271932	0.999999999345;6.51035293611e-09;0.999999999981	0.724;0.043;0.231	0.136;0.025;0.857	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr16	-	11023416-11035426;11023416-11027701;11023416-11023417	11023074-11023416;11023417-11027700;11027701-11027861;11035426-11036317	;;;	;;;	(11023417, 11027700)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/28_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#DEXI
EML2	ENSG00000125746	ENSG00000125746:46145392-46145639:target	0.272328864202;-0.272328864202	0.728522551888;0.728522551888	0.404;0.596	0.739;0.261	s|1e1.1o1|i	False	False	False	1	2	1	chr19	-	46145299-46145392;46145391-46145392	46145176-46145299;46145300-46145391;46145392-46145639	;;	;;	(46145300, 46145391)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/12_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#EML2
RP11-176H8.1	ENSG00000203546	ENSG00000203546:31926235-31926647:target	-0.310652956226;0.310652956226	0.917142656086;0.917142656086	0.352;0.648	0.035;0.965	s|1e1.1o1|2e1.1o1	True	True	False	2	2	0	chr14	-	31922550-31926489;31922550-31926235	31922481-31922550;31922481-31922550;31926235-31926647	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/31_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#RP11-176H8.1
TPR	ENSG00000047410	ENSG00000047410:186325418-186325670:source	-0.224934761681;0.224934761681	0.743583443417;0.743583443417	0.852;0.148	0.606;0.394	t|1e0|2e1.1o1|i	False	True	False	1	2	1	chr1	-	186325581-186326529;186325670-186325671	186325418-186325670;186325671-186326528;186326529-186326755	;;	;;	(186325671, 186326528)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/1_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TPR
PATL2	ENSG00000229474	ENSG00000229474:44958590-44959217:source	-1.57218741019e-06;-0.362005224628;0.36450983177	4.2696745673e-07;0.941873501635;0.949904161468	0.027;0.911;0.079	0.027;0.547;0.444	t|1e0|2e1.1o1|2e2.1o1|i	False	True	True	2	3	1	chr15	-	44958739-44960540;44958739-44959304;44959217-44959218	44958590-44959217;44959218-44959303;44959304-44959476;44960540-44960683	;;;	;;;	(44959218, 44959303)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/33_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#PATL2
TARS2	ENSG00000143374	ENSG00000143374:150464466-150464965:source	-0.00682852111806;-0.144170135364;0.201495780803	0.0158040698186;0.325986834757;0.612267207768	0.640;0.186;0.174	0.551;0.026;0.442	s|1e1.1o1|1e2.2o2|1e3.1o1	False	False	True	3	4	1	chr1	+	150464965-150468958;150464965-150469286;150464965-150470006	150464466-150464965;150468958-150469104;150469284-150469384;150470006-150470223	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/17_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TARS2
TARS2	ENSG00000143374	ENSG00000143374:150470006-150470223:target	8.58498718777e-06;0.271461739439;-0.274075657694	4.33114115558e-08;0.788550899686;0.792627056151	0.025;0.166;0.829	0.026;0.470;0.523	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	0	chr1	+	150463987-150470006;150464965-150470006;150469384-150470006	150463870-150463987;150464466-150464965;150469284-150469384;150470006-150470223	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/17_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#TARS2
ACP2	ENSG00000134575	ENSG00000134575:47266286-47266418:source	0.000346139027436;-0.308625170045;0.260109820401	2.48393325325e-05;0.903539742847;0.81349459186	0.027;0.954;0.039	0.047;0.640;0.316	t|1e1.1o1|1e2.1o1|i	False	False	True	2	3	1	chr11	-	47266418-47267233;47266418-47266856;47266418-47266419	47266286-47266418;47266419-47266449;47266856-47266978;47267233-47267385	;;;	;;;	(47266419, 47266449)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/14_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#ACP2
HIST1H2AC	ENSG00000180573	ENSG00000180573:26138282-26139344:target	0.384074331273;-0.170763676919;-0.0108925997038	0.998916290333;0.498270238537;0.0271778280573	0.026;0.556;0.436	0.401;0.281;0.318	t|1e1.1o3|1e1.3o3|1e2.1o1	True	False	True	3	3	1	chr6	+	26124861-26138282;26124977-26138282;26127989-26138282	26124373-26124977;26124373-26124977;26127926-26127989;26138282-26139344	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/27_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#HIST1H2AC
HIST1H2AC	ENSG00000180573	ENSG00000180573:26124373-26124977:source	0.372071882127;0.293714078866;-0.698392145501	0.991180567389;0.93710831236;0.999998895293	0.030;0.030;0.961	0.395;0.325;0.280	s|1e2.1o1|2e0|3e1.1o1|3e2.1o1	True	True	True	3	3	1	chr6	+	26124861-26138282;26124977-26127926;26124977-26138282	26124373-26124977;26127926-26127989;26138282-26139344;26138282-26139344	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/27_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#HIST1H2AC
CENPV	ENSG00000166582	ENSG00000166582:16252816-16253343:target	0.380872144519;-0.380872144519	0.880140429369;0.880140429369	0.362;0.638	0.770;0.230	s|1e1.1o1|1e2.1o1|2e0|3e0	True	False	True	2	3	0	chr17	-	16252647-16253245;16251999-16253245	16251930-16251999;16252454-16252647;16252816-16253343	;;	;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/23_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#CENPV
RPL17	ENSG00000265681	ENSG00000265681:47015535-47015920:target	-0.325991089144;0.325991089144	0.831927424564;0.831927424564	0.874;0.126	0.512;0.488	s|1e0|2e0|3e0|4e0|5e1.1o1|6e0|i	True	False	False	1	2	1	chr18	-	47014936-47015729;47015534-47015535	47014851-47014936;47014937-47015534;47015535-47015920	;;	;;	(47014937, 47015534)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/34_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#RPL17
AAGAB	ENSG00000103591	ENSG00000103591:67528968-67529158:source	5.96923464755e-07;0.206821392935;-0.00738702915899;5.96923464755e-07;-0.0218320340327;5.96923464755e-07;-0.000204021504843	8.94421956818e-09;0.685566025529;0.00337814296473;8.94421956818e-09;0.0140304838282;8.94421956818e-09;1.80206010857e-06	0.025;0.722;0.114;0.025;0.120;0.025;0.038	0.025;0.956;0.034;0.025;0.025;0.025;0.025	t|1e1.1o1|1e2.1o4|1e2.2o4|1e2.3o4|1e2.4o4|1e3.1o1|2e2.1o4	True	True	True	7	4	1	chr15	-	67529158-67547475;67529158-67546897;67529158-67546752;67529158-67546567;67529158-67546562;67529158-67535075;67529143-67546897	67528968-67529158;67535075-67535209;67546562-67547074;67546562-67547074;67546562-67547074;67546562-67547074;67546562-67547074;67547475-67547533	;;;;;;;	;;;;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/6_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#AAGAB
CUL9	ENSG00000112659	ENSG00000112659:43170847-43170942:source	-0.314187481248;0.314187481248	0.956383999667;0.956383999667	0.969;0.031	0.656;0.344	s|1e1.2o2|i	False	False	False	1	2	1	chr6	+	43170942-43171155;43170942-43170943	43170847-43170942;43170943-43171010;43171011-43171330	;;	;;	(43170943, 43171010)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/9_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#CUL9
ARAP1	ENSG00000186635	ENSG00000186635:72404370-72404515:target	-9.99814959857e-08;0.270651512832;-0.322779837404;0.00200955097796	8.87672586816e-14;0.85947125682;0.958286349759;7.52034268128e-06	0.025;0.203;0.767;0.030	0.025;0.478;0.450;0.070	s|1e1.1o1|1e2.1o1|1e3.2o3|i	False	False	True	3	4	1	chr11	-	72404268-72404370;72403830-72404370;72399582-72404370;72404369-72404370	72399500-72399933;72403798-72403830;72404153-72404268;72404269-72404369;72404370-72404515	;;;;	;;;;	(72404269, 72404369)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/29_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#ARAP1
ARAP1	ENSG00000186635	ENSG00000186635:72399500-72399933:source	-0.244935452623;0.245220625618;-4.53923448558e-08	0.79215866614;0.793188273301;2.22442777283e-14	0.710;0.287;0.025	0.451;0.547;0.025	t|1e0|2e0|2e1.1o1|2e2.1o1|2e3.1o1|3e0	False	True	True	3	4	0	chr11	-	72399582-72404370;72399582-72403798;72399582-72400541	72399500-72399933;72400541-72400591;72403798-72403830;72404370-72404515	;;;	;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/29_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#ARAP1
CNOT6	ENSG00000113300	ENSG00000113300:179991489-179991593:source	0.306495207564;-0.156119631464;-0.00120266682902	0.851462705246;0.459006485341;0.00012125951455	0.111;0.821;0.068	0.441;0.553;0.026	s|1e1.1o1|2e1.1o1|i	True	True	False	2	2	1	chr5	+	179991578-179991675;179991593-179991675;179991593-179991594	179991489-179991593;179991594-179991674;179991675-179991743;179991675-179991743	;;;	;;;	(179991594, 179991674)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/9_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#CNOT6
CNOT6	ENSG00000113300	ENSG00000113300:179991675-179991743:target	0.275428208054;-0.273896969295;3.16671462346e-06	0.775285942181;0.768740373129;1.93133832824e-07	0.122;0.872;0.026	0.439;0.555;0.026	t|1e1.1o2|1e1.2o2|i	True	False	False	2	2	1	chr5	+	179991578-179991675;179991593-179991675;179991674-179991675	179991489-179991593;179991489-179991593;179991594-179991674;179991675-179991743	;;;	;;;	(179991594, 179991674)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/9_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#CNOT6
AP5B1	ENSG00000254470	ENSG00000254470:65547913-65548273:target	0.307525436701;-0.307525436701	0.864609318573;0.864609318573	0.625;0.375	0.950;0.050	s|1e1.1o1|i	False	False	False	1	2	1	chr11	-	65547813-65547913;65547912-65547913	65543364-65547813;65547814-65547912;65547913-65548273	;;	;;	(65547814, 65547912)	file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/34_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#AP5B1
ZDHHC16	ENSG00000171307	ENSG00000171307:99211428-99211675:target	-0.246784348782;-2.20329595563e-05;0.23135673851;0.000181473311176	0.787143031847;2.39976848558e-06;0.762811650879;7.80683650244e-06	0.962;0.028;0.028;0.028	0.689;0.026;0.269;0.039	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|2e0|3e0|4e0	False	True	True	4	5	0	chr10	+	99206110-99211428;99208107-99211428;99210293-99211428;99210950-99211428	99205927-99206110;99207947-99208107;99210114-99210293;99210585-99210950;99211428-99211675	;;;;	;;;;		file:///data/THelper/./voila/dpsi/TH2e_TH17e//summaries/25_Th2_e_A_Th17_e_A.deltapsi_quantify_deltapsi.html#ZDHHC16
